"INDEX","CROSS","SITE","EFF","SE","TRAIT"
452,"dom","CLMB",NA,NA,"HT"
452,"dom","KBSM",NA,NA,"HT"
452,"dom","KING",NA,NA,"HT"
452,"dom","LINC",NA,NA,"HT"
452,"dom","MNHT",NA,NA,"HT"
452,"dom","OVTN",NA,NA,"HT"
452,"dom","PKLE",NA,NA,"HT"
452,"dom","STIL",NA,NA,"HT"
452,"dom","TMPL",NA,NA,"HT"
538,"add","BRKG",-2.20649329120314,0.819348168795545,"HT"
538,"add","CLMB",-1.13694555442646,0.741655025288039,"HT"
538,"add","KBSM",-3.08675077563487,0.78195553016513,"HT"
538,"add","KING",-0.160814042185497,0.80212162510404,"HT"
538,"add","LINC",-2.64618931115942,0.956443601148354,"HT"
538,"add","MNHT",-3.29165346719467,0.935780035171554,"HT"
538,"add","OVTN",-2.15207736816767,0.752796163260069,"HT"
538,"add","PKLE",-0.124550723065194,0.99294812443562,"HT"
538,"add","STIL",-2.29266895938011,0.895803290647197,"HT"
538,"add","TMPL",-3.76066605765679,0.876713353563937,"HT"
538,"add2","BRKG",-2.38319340373654,0.838803600816014,"HT"
538,"add2","CLMB",-2.12822790479983,0.754562488255075,"HT"
538,"add2","KBSM",-2.29181246914742,0.805621344187859,"HT"
538,"add2","KING",-1.56206517730969,0.816247222946671,"HT"
538,"add2","LINC",-2.90284548417242,0.976916661454599,"HT"
538,"add2","MNHT",-2.24402112381487,0.949039501666817,"HT"
538,"add2","OVTN",-1.22789822079113,0.764917999771525,"HT"
538,"add2","PKLE",-1.38183551215017,1.01730415854639,"HT"
538,"add2","STIL",-1.60912132870642,0.918769859334427,"HT"
538,"add2","TMPL",-3.22429369892705,0.892420146511111,"HT"
538,"dom","BRKG",NA,NA,"HT"
538,"dom","CLMB",NA,NA,"HT"
538,"dom","KBSM",NA,NA,"HT"
538,"dom","KING",NA,NA,"HT"
538,"dom","LINC",NA,NA,"HT"
538,"dom","MNHT",NA,NA,"HT"
538,"dom","OVTN",NA,NA,"HT"
538,"dom","PKLE",NA,NA,"HT"
538,"dom","STIL",NA,NA,"HT"
538,"dom","TMPL",NA,NA,"HT"
649,"add","BRKG",-2.59129202701884,0.820327643378898,"HT"
649,"add","CLMB",-1.96312268047873,0.73610720396188,"HT"
649,"add","KBSM",-1.78043897550313,0.783610290714015,"HT"
649,"add","KING",-0.113853887473531,0.80504369955047,"HT"
649,"add","LINC",-2.95935794734388,0.953709051452055,"HT"
649,"add","MNHT",-3.37904904854852,0.931418303820652,"HT"
649,"add","OVTN",-2.21159204210604,0.754820703700115,"HT"
649,"add","PKLE",-4.20788255900125,0.993206864150181,"HT"
649,"add","STIL",-2.41612376532546,0.901157531148693,"HT"
649,"add","TMPL",-3.78514334392945,0.87494082512799,"HT"
649,"add2","BRKG",-0.8981656414207,0.812437635634188,"HT"
649,"add2","CLMB",-1.21754198317587,0.732731933215249,"HT"
649,"add2","KBSM",-1.86707017105779,0.777498483334075,"HT"
649,"add2","KING",-1.37047981517715,0.798808706634021,"HT"
649,"add2","LINC",-1.3531696438895,0.951362795740471,"HT"
649,"add2","MNHT",-2.56465616086877,0.926948534363581,"HT"
649,"add2","OVTN",-2.50227806971467,0.74912145175789,"HT"
649,"add2","PKLE",-0.943038541409022,0.985872428540058,"HT"
649,"add2","STIL",-2.20878015616531,0.893515729581417,"HT"
649,"add2","TMPL",-0.269624622667973,0.866869928102984,"HT"
649,"dom","BRKG",-1.16680673341953,0.820583813195811,"HT"
649,"dom","CLMB",-0.984009616030854,0.738383854670892,"HT"
649,"dom","KBSM",-2.42782708716447,0.782840752197721,"HT"
649,"dom","KING",-1.46186176006721,0.800468465398098,"HT"
649,"dom","LINC",-0.861225233300148,0.954708796630409,"HT"
649,"dom","MNHT",-1.67666237725233,0.933176799194113,"HT"
649,"dom","OVTN",-1.21487906821161,0.752783091683623,"HT"
649,"dom","PKLE",-1.36326425728299,0.987269590649235,"HT"
649,"dom","STIL",-0.212230030785177,0.893604522034075,"HT"
649,"dom","TMPL",-3.49441016158605,0.872132315092804,"HT"
703,"add","BRKG",-3.60653502923,0.820125991881664,"HT"
703,"add","CLMB",-2.01120231952518,0.735741436951428,"HT"
703,"add","KBSM",-4.09685598908724,0.779613774162665,"HT"
703,"add","KING",-3.0173119922431,0.802002015446446,"HT"
703,"add","LINC",-3.40551641337037,0.947476199089196,"HT"
703,"add","MNHT",-2.89329884676542,0.928514782083976,"HT"
703,"add","OVTN",-3.35061357454788,0.750610783031135,"HT"
703,"add","PKLE",-2.36849756955808,0.989414652210203,"HT"
703,"add","STIL",-2.94132607590116,0.894796614461814,"HT"
703,"add","TMPL",-3.20979121499657,0.871272247592929,"HT"
703,"add2","BRKG",0.384424844079462,0.816253307639799,"HT"
703,"add2","CLMB",0.946513414294997,0.742789853842352,"HT"
703,"add2","KBSM",2.01313660280307,0.781381566297832,"HT"
703,"add2","KING",-1.86983838571459,0.797695788241456,"HT"
