OsID,OsGene
LOC_Os06g10660,LYP6|OsLYP6 
LOC_Os02g44990,MAIF1 
LOC_Os08g40620,MAP 
LOC_Os04g10010,MAS 
LOC_Os03g58600,MEL1 
LOC_Os12g38460,MEL2 
LOC_Os02g40450,MER3|RCK 
LOC_Os06g31210,MetRS|MRS 
LOC_Os02g17390,MFP 
LOC_Os05g41760,MFS1 
LOC_Os01g03750,MHZ4 
LOC_Os05g37060,MID1 
LOC_Os12g18410,MIR 
LOC_Os03g18550,MIT 
LOC_Os06g21390,MKRN 
LOC_Os06g29110,MLO 
LOC_Os07g09060,MMSDH 
LOC_Os06g40780,MOC1 
LOC_Os01g64660,MOC2|FBP1 
LOC_Os04g56780,MOC3|OsWUS|TAB1|OsTAB1 
LOC_Os03g11550,MODD 
LOC_Os04g39080,MOF 
LOC_Os04g51350,MPR25 
LOC_Os04g01130,MRG701 
LOC_Os11g34300,MRG702 
LOC_Os01g05650,MT2A 
LOC_Os07g49390,Mtr1 
LOC_Os01g18240,MYB61 
LOC_Os10g41200,MYBS3|OsMYBS3 
LOC_Os01g52500,NADP-ME2|OsNADP-ME2 
LOC_Os04g52479,NAL1|qFLW4 
LOC_Os11g01130,NAL2|OsWOX3A|WOX3 
LOC_Os12g01120,NAL3 
LOC_Os09g33780,NEF 
LOC_Os01g56200,NH2 
LOC_Os03g46440,NH3 
LOC_Os02g22020,NIGT1 
LOC_Os05g50270,NL1 
LOC_Os11g14380,NLS1 
LOC_Os06g30320,NOC3 
LOC_Os03g45194,NOL 
LOC_Os08g41880,NPP1|OsPAP27b 
LOC_Os02g03900,Nrat1 
LOC_Os01g03940,NRR 
LOC_Os05g51690,NRR|CRCT 
LOC_Os10g40100,NRRB 
LOC_Os03g13274,NRT1|OsNRT1|OsNRT1.1 
LOC_Os06g22140,NTRA 
LOC_Os02g48290,NTRB 
LOC_Os07g46410,NTRC 
LOC_Os01g12710,NYC1 
LOC_Os06g24730,NYC3 
LOC_Os07g37250,NYC4 
LOC_Os03g61120,OASA1 
LOC_Os03g15780,OASA2 
LOC_Os01g42860,OCPI1 
LOC_Os01g16430,OcXII 
LOC_Os09g37120,ODCa 
LOC_Os02g28110,ODCb 
LOC_Os11g40140,OgPAE1 
LOC_Os12g17080,OGR1 
LOC_Os06g08450,OHK1 
LOC_Os01g69920,OHK2|OsHk3 
LOC_Os10g21810,OHK3|OsHk5 
LOC_Os03g50860,OHK4 
LOC_Os02g50480,OHK5|OsHk6 
LOC_Os08g44350,OHP1 
LOC_Os09g39400,OHP2 
LOC_Os06g08770,OIP30 
LOC_Os09g15520,OLE4 
LOC_Os02g36880,OMTN1 
LOC_Os12g41680,OMTN3 
LOC_Os06g46270,OMTN4 
LOC_Os06g23650,OMTN5 
LOC_Os08g10080,OMTN6 
LOC_Os01g01470,ONAC020 
LOC_Os03g04070,ONAC022 
LOC_Os02g12310,ONAC023 
LOC_Os01g29840,ONAC026 
LOC_Os11g03370,ONAC045 
LOC_Os08g33910,ONAC063 
LOC_Os06g51070,ONAC095 
LOC_Os07g04560,ONAC096 
LOC_Os08g33670,ONAC106 
LOC_Os11g03300,ONAC122|OsNAC10 
LOC_Os11g31340,ONAC127 
LOC_Os11g31360,ONAC128 
