OsID,OsGene
LOC_Os02g05630,OsPP18|OsPP2C10
LOC_Os02g05692,OsDHSRP1
LOC_Os02g05830,OsRBCS1
LOC_Os02g05840,LC2|OsVIL3
LOC_Os02g05890,YL1|YS83
LOC_Os02g05970,LRK2
LOC_Os02g05980,LRK1
LOC_Os02g06290,OsHAC4
LOC_Os02g06360,OsCBSSIS1
LOC_Os02g06640,rubq2
LOC_Os02g07120,OsCAND1
LOC_Os02g07260,OsPgk2
LOC_Os02g07310,OsAGO17
LOC_Os02g07430,OsMADS29
LOC_Os02g07780,OsSPL4
LOC_Os02g07830,OsHKT1;3
LOC_Os02g08100,Os4CL3
LOC_Os02g08440,OsWRKY71
LOC_Os02g08500,LEPTO1|OsRR24|DLC1
LOC_Os02g09060,APIP10
LOC_Os02g09220,OsCYP71D8L
LOC_Os02g09450,MTD1
LOC_Os02g09490,GH2|OsCAD2
LOC_Os02g09750,beta-OsLCY
LOC_Os02g09830,OsbZIP16
LOC_Os02g09960,OsRLK2|OsNFR5
LOC_Os02g10100,OsSRK
LOC_Os02g10120,OsLOX5
LOC_Os02g10200,ZFP185
LOC_Os02g10290,OsHMA4
LOC_Os02g10480,OsAGAP
LOC_Os02g10640,OsRPT4
LOC_Os02g10760,OsWR1
LOC_Os02g10780,OsSPX2
LOC_Os02g10800,OsBT1-1|OsBT1
LOC_Os02g10860,OsbZIP18
LOC_Os02g10900,RLS1
LOC_Os02g10920,SRZ1
LOC_Os02g11020,CYP734A2
LOC_Os02g12290,TMS5
LOC_Os02g12310,ONAC023
LOC_Os02g12380,HDA710
LOC_Os02g12440,OsGIRL1
LOC_Os02g12580,OsPP2A-3
LOC_Os02g12680,OsAOS3|OsHPL2
LOC_Os02g12690,OsAOS4|OsHPL1
LOC_Os02g12740,OsGPI8
LOC_Os02g12790,Cga1
LOC_Os02g13370,OsO3L3
LOC_Os02g13560,OsTMT2
LOC_Os02g13810,HEI10
LOC_Os02g13870,OsNIP1;1
LOC_Os02g13950,FUWA
LOC_Os02g14120,Docs1
LOC_Os02g14130,OsGSK3
LOC_Os02g14720,GW2
LOC_Os02g14730,OsUBP15|LG1
LOC_Os02g14770,PEPC-1
LOC_Os02g14840,OsKAT3
LOC_Os02g15070,GluB6
LOC_Os02g15090,GluD
LOC_Os02g15169,GluB-1
LOC_Os02g15220,GTE4|OsGTE4
LOC_Os02g15230,BS1
LOC_Os02g15350,RPBF|OsDof3
LOC_Os02g15594,DCW11
LOC_Os02g15760,OsSPCH2
LOC_Os02g15900,ASL2
LOC_Os02g15950,EP3|LP
LOC_Os02g16040,OsUBC5b
LOC_Os02g16680,RITA1
LOC_Os02g16820,GluB5
LOC_Os02g16830,GluB4
LOC_Os02g17230,OsYUC12
LOC_Os02g17380,Rf2
LOC_Os02g17390,MFP|AIM1
LOC_Os02g17500,OsGMST1
LOC_Os02g17650,OsVTE1
LOC_Os02g17780,OsCPS|OsCPS1
LOC_Os02g17940,HIS1
LOC_Os02g17970,OsPKG
LOC_Os02g18320,OsSERK4|TMS10
LOC_Os02g18840,OsUbDKgamma4
LOC_Os02g18850,OsPOP5
LOC_Os02g18870,RMS2|OsGELP34
LOC_Os02g18930,OsCBL8
LOC_Os02g19130,OsFDML1
LOC_Os02g19820,OsSWEET4
LOC_Os02g19970,OsNAAT2
LOC_Os02g20170,OsDi19-4
LOC_Os02g20360,OsNAAT1
LOC_Os02g20930,OsAPI5
